st_name,st_fips,year,age_char,age_int,population
Alabama,01,1999,< 1 year,0,58787
Alabama,01,1999,1-4 years,1,236153
Alabama,01,1999,5-9 years,5,315749
Alabama,01,1999,10-14 years,10,317379
Alabama,01,1999,15-19 years,15,327789
Alabama,01,1999,20-24 years,20,306182
Alabama,01,1999,25-29 years,25,307028
Alabama,01,1999,30-34 years,30,301295
Alabama,01,1999,35-39 years,35,342932
Alabama,01,1999,40-44 years,40,344000
Alabama,01,1999,45-49 years,45,309892
Alabama,01,1999,50-54 years,50,275759
Alabama,01,1999,55-59 years,55,220728
Alabama,01,1999,60-64 years,60,189814
Alabama,01,1999,65-69 years,65,167363
Alabama,01,1999,70-74 years,70,148565
Alabama,01,1999,75-79 years,75,117897
Alabama,01,1999,80-84 years,80,76876
Alabama,01,1999,85+ years,85,65953
Alabama,01,2000,< 1 year,0,59617
Alabama,01,2000,1-4 years,1,235568
Alabama,01,2000,5-9 years,5,313178
Alabama,01,2000,10-14 years,10,321372
Alabama,01,2000,15-19 years,15,325612
Alabama,01,2000,20-24 years,20,309170
Alabama,01,2000,25-29 years,25,298679
Alabama,01,2000,30-34 years,30,301179
Alabama,01,2000,35-39 years,35,338693
Alabama,01,2000,40-44 years,40,345820
Alabama,01,2000,45-49 years,45,316816
Alabama,01,2000,50-54 years,50,287948
Alabama,01,2000,55-59 years,55,226761
Alabama,01,2000,60-64 years,60,190880
Alabama,01,2000,65-69 years,65,167835
Alabama,01,2000,70-74 years,70,148805
Alabama,01,2000,75-79 years,75,118478
Alabama,01,2000,80-84 years,80,78201
Alabama,01,2000,85+ years,85,67561
Alabama,01,2001,< 1 year,0,61537
Alabama,01,2001,1-4 years,1,235087
Alabama,01,2001,5-9 years,5,307526
Alabama,01,2001,10-14 years,10,323615
Alabama,01,2001,15-19 years,15,321866
Alabama,01,2001,20-24 years,20,318741
Alabama,01,2001,25-29 years,25,286763
Alabama,01,2001,30-34 years,30,302186
Alabama,01,2001,35-39 years,35,330870
Alabama,01,2001,40-44 years,40,347133
Alabama,01,2001,45-49 years,45,323347
Alabama,01,2001,50-54 years,50,300108
Alabama,01,2001,55-59 years,55,231202
Alabama,01,2001,60-64 years,60,193822
Alabama,01,2001,65-69 years,65,169261
Alabama,01,2001,70-74 years,70,149001
Alabama,01,2001,75-79 years,75,118750
Alabama,01,2001,80-84 years,80,79883
Alabama,01,2001,85+ years,85,66936
Alabama,01,2002,< 1 year,0,58963
Alabama,01,2002,1-4 years,1,237083
Alabama,01,2002,5-9 years,5,302632
Alabama,01,2002,10-14 years,10,325008
Alabama,01,2002,15-19 years,15,320749
Alabama,01,2002,20-24 years,20,322812
Alabama,01,2002,25-29 years,25,281003
Alabama,01,2002,30-34 years,30,302668
Alabama,01,2002,35-39 years,35,321114
Alabama,01,2002,40-44 years,40,345023
Alabama,01,2002,45-49 years,45,330998
Alabama,01,2002,50-54 years,50,298908
Alabama,01,2002,55-59 years,55,248643
Alabama,01,2002,60-64 years,60,198880
Alabama,01,2002,65-69 years,65,170495
Alabama,01,2002,70-74 years,70,147964
Alabama,01,2002,75-79 years,75,119599
Alabama,01,2002,80-84 years,80,81123
Alabama,01,2002,85+ years,85,66424
Alabama,01,2003,< 1 year,0,58021
Alabama,01,2003,1-4 years,1,237183
Alabama,01,2003,5-9 years,5,299148
Alabama,01,2003,10-14 years,10,326642
Alabama,01,2003,15-19 years,15,321655
Alabama,01,2003,20-24 years,20,326983
Alabama,01,2003,25-29 years,25,280387
Alabama,01,2003,30-34 years,30,302722
Alabama,01,2003,35-39 years,35,312160
Alabama,01,2003,40-44 years,40,343191
Alabama,01,2003,45-49 years,45,337237
Alabama,01,2003,50-54 years,50,302120
Alabama,01,2003,55-59 years,55,258551
Alabama,01,2003,60-64 years,60,207119
Alabama,01,2003,65-69 years,65,173635
Alabama,01,2003,70-74 years,70,147332
Alabama,01,2003,75-79 years,75,120741
Alabama,01,2003,80-84 years,80,83097
Alabama,01,2003,85+ years,85,65567
Alabama,01,2004,< 1 year,0,58927
Alabama,01,2004,1-4 years,1,237043
Alabama,01,2004,5-9 years,5,297554
Alabama,01,2004,10-14 years,10,326228
Alabama,01,2004,15-19 years,15,325095
Alabama,01,2004,20-24 years,20,326749
Alabama,01,2004,25-29 years,25,283864
Alabama,01,2004,30-34 years,30,299896
Alabama,01,2004,35-39 years,35,305558
Alabama,01,2004,40-44 years,40,342253
Alabama,01,2004,45-49 years,45,340768
Alabama,01,2004,50-54 years,50,307605
Alabama,01,2004,55-59 years,55,270380
Alabama,01,2004,60-64 years,60,214983
Alabama,01,2004,65-69 years,65,176683
Alabama,01,2004,70-74 years,70,147028
Alabama,01,2004,75-79 years,75,120322
Alabama,01,2004,80-84 years,80,84290
Alabama,01,2004,85+ years,85,65503
Alabama,01,2005,< 1 year,0,59424
Alabama,01,2005,1-4 years,1,237017
Alabama,01,2005,5-9 years,5,298450
Alabama,01,2005,10-14 years,10,323028
Alabama,01,2005,15-19 years,15,330753
Alabama,01,2005,20-24 years,20,326727
Alabama,01,2005,25-29 years,25,290568
Alabama,01,2005,30-34 years,30,295263
Alabama,01,2005,35-39 years,35,303456
Alabama,01,2005,40-44 years,40,339299
Alabama,01,2005,45-49 years,45,344392
Alabama,01,2005,50-54 years,50,314839
Alabama,01,2005,55-59 years,55,284084
Alabama,01,2005,60-64 years,60,220403
Alabama,01,2005,65-69 years,65,179942
Alabama,01,2005,70-74 years,70,149085
Alabama,01,2005,75-79 years,75,120923
Alabama,01,2005,80-84 years,80,84762
Alabama,01,2005,85+ years,85,67390
Alabama,01,2006,< 1 year,0,60823
Alabama,01,2006,1-4 years,1,236399
Alabama,01,2006,5-9 years,5,303581
Alabama,01,2006,10-14 years,10,321867
Alabama,01,2006,15-19 years,15,337003
Alabama,01,2006,20-24 years,20,326239
Alabama,01,2006,25-29 years,25,302813
Alabama,01,2006,30-34 years,30,288248
Alabama,01,2006,35-39 years,35,308663
Alabama,01,2006,40-44 years,40,334043
Alabama,01,2006,45-49 years,45,348601
Alabama,01,2006,50-54 years,50,323309
Alabama,01,2006,55-59 years,55,297745
Alabama,01,2006,60-64 years,60,226567
Alabama,01,2006,65-69 years,65,184594
Alabama,01,2006,70-74 years,70,151454
Alabama,01,2006,75-79 years,75,122066
Alabama,01,2006,80-84 years,80,85688
Alabama,01,2006,85+ years,85,69278
Alabama,01,2007,< 1 year,0,62907
Alabama,01,2007,1-4 years,1,237393
Alabama,01,2007,5-9 years,5,306013
Alabama,01,2007,10-14 years,10,320407
Alabama,01,2007,15-19 years,15,341279
Alabama,01,2007,20-24 years,20,327293
Alabama,01,2007,25-29 years,25,307619
Alabama,01,2007,30-34 years,30,286033
Alabama,01,2007,35-39 years,35,312470
Alabama,01,2007,40-44 years,40,326486
