"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Alabama"	"01"	"1999"	"1999"	"< 1 year"	"1"	606	58787	1030.8401517	948.7651151	1112.9151884	41.8750187
	"Alabama"	"01"	"1999"	"1999"	"1-4 years"	"1-4"	121	236153	51.2379686	42.1082942	60.3676430	4.6579971
	"Alabama"	"01"	"1999"	"1999"	"5-9 years"	"5-9"	86	315749	27.2368242	21.7859186	33.6372055	2.9370223
	"Alabama"	"01"	"1999"	"1999"	"10-14 years"	"10-14"	98	317379	30.8779094	25.0682307	37.6302906	3.1191399
	"Alabama"	"01"	"1999"	"1999"	"15-19 years"	"15-19"	338	327789	103.1151137	92.1220170	114.1082103	5.6087228
	"Alabama"	"01"	"1999"	"1999"	"20-24 years"	"20-24"	414	306182	135.2136964	122.1887308	148.2386621	6.6453906
	"Alabama"	"01"	"1999"	"1999"	"25-29 years"	"25-29"	407	307028	132.5611996	119.6824028	145.4399965	6.5708147
	"Alabama"	"01"	"1999"	"1999"	"30-34 years"	"30-34"	486	301295	161.3037057	146.9626117	175.6447996	7.3168847
	"Alabama"	"01"	"1999"	"1999"	"35-39 years"	"35-39"	736	342932	214.6198080	199.1142655	230.1253505	7.9109911
	"Alabama"	"01"	"1999"	"1999"	"40-44 years"	"40-44"	1151	344000	334.5930233	315.2628703	353.9231762	9.8623229
	"Alabama"	"01"	"1999"	"1999"	"45-49 years"	"45-49"	1392	309892	449.1887496	425.5912861	472.7862132	12.0395222
	"Alabama"	"01"	"1999"	"1999"	"50-54 years"	"50-54"	1765	275759	640.0516393	610.1910255	669.9122531	15.2350070
	"Alabama"	"01"	"1999"	"1999"	"55-59 years"	"55-59"	2204	220728	998.5140082	956.8266438	1040.2013726	21.2690635
	"Alabama"	"01"	"1999"	"1999"	"60-64 years "	"60-64"	2837	189814	1494.6210501	1439.6217075	1549.6203926	28.0608891
	"Alabama"	"01"	"1999"	"1999"	"65-69 years"	"65-69"	3833	167363	2290.2314132	2217.7267350	2362.7360913	36.9921827
	"Alabama"	"01"	"1999"	"1999"	"70-74 years"	"70-74"	5011	148565	3372.9344058	3279.5441069	3466.3247047	47.6481117
	"Alabama"	"01"	"1999"	"1999"	"75-79 years"	"75-79"	6258	117897	5308.0231049	5176.5093746	5439.5368353	67.0988420
	"Alabama"	"01"	"1999"	"1999"	"80-84 years"	"80-84"	6214	76876	8083.1468859	7882.1677764	8284.1259954	102.5403620
	"Alabama"	"01"	"1999"	"1999"	"85-89 years"	"85-89"	5715	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"90-94 years"	"90-94"	3500	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"95-99 years"	"95-99"	1319	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"100+ years"	"100+"	315	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"< 1 year"	"1"	596	59101	1008.4431736	927.4805874	1089.4057597	41.3074419
	"Alabama"	"01"	"2000"	"2000"	"1-4 years"	"1-4"	97	236891	40.9471023	33.2052336	49.9521890	4.1575483
	"Alabama"	"01"	"2000"	"2000"	"5-9 years"	"5-9"	55	315345	17.4412152	13.1391650	22.7021833	2.3517730
	"Alabama"	"01"	"2000"	"2000"	"10-14 years"	"10-14"	83	320252	25.9170903	20.6427032	32.1281210	2.8447702
	"Alabama"	"01"	"2000"	"2000"	"15-19 years"	"15-19"	299	324580	92.1190462	81.6773774	102.5607149	5.3273820
	"Alabama"	"01"	"2000"	"2000"	"20-24 years"	"20-24"	409	306865	133.2833656	120.3661066	146.2006247	6.5904383
	"Alabama"	"01"	"2000"	"2000"	"25-29 years"	"25-29"	387	301196	128.4877621	115.6862181	141.2893061	6.5314000
	"Alabama"	"01"	"2000"	"2000"	"30-34 years"	"30-34"	467	301819	154.7284962	140.6949336	168.7620588	7.1599809
	"Alabama"	"01"	"2000"	"2000"	"35-39 years"	"35-39"	709	340300	208.3455774	193.0093959	223.6817589	7.8245824
	"Alabama"	"01"	"2000"	"2000"	"40-44 years"	"40-44"	1127	345212	326.4660556	307.4056497	345.5264616	9.7246969
	"Alabama"	"01"	"2000"	"2000"	"45-49 years"	"45-49"	1451	315173	460.3820759	436.6934007	484.0707510	12.0860587
	"Alabama"	"01"	"2000"	"2000"	"50-54 years"	"50-54"	1814	285036	636.4108393	607.1238319	665.6978468	14.9423507
	"Alabama"	"01"	"2000"	"2000"	"55-59 years"	"55-59"	2321	225450	1029.4965624	987.6130204	1071.3801044	21.3691541
	"Alabama"	"01"	"2000"	"2000"	"60-64 years "	"60-64"	2789	190082	1467.2614977	1412.8063004	1521.7166949	27.7832639
	"Alabama"	"01"	"2000"	"2000"	"65-69 years"	"65-69"	3925	167968	2336.7546199	2263.6492379	2409.8600019	37.2986643
	"Alabama"	"01"	"2000"	"2000"	"70-74 years"	"70-74"	5067	148780	3405.6996908	3311.9247132	3499.4746684	47.8443763
	"Alabama"	"01"	"2000"	"2000"	"75-79 years"	"75-79"	6167	118108	5221.4921936	5091.1713957	5351.8129914	66.4902030
	"Alabama"	"01"	"2000"	"2000"	"80-84 years"	"80-84"	6354	77641	8183.8204042	7982.5923368	8385.0484716	102.6673813
	"Alabama"	"01"	"2000"	"2000"	"85-89 years"	"85-89"	5624	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"90-94 years"	"90-94"	3692	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"95-99 years"	"95-99"	1312	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"100+ years"	"100+"	316	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"< 1 year"	"1"	567	61537	921.3968832	845.5546206	997.2391458	38.6950319
	"Alabama"	"01"	"2001"	"2001"	"1-4 years"	"1-4"	98	235087	41.6866947	33.8433431	50.8027411	4.2109921
	"Alabama"	"01"	"2001"	"2001"	"5-9 years"	"5-9"	67	307526	21.7867758	16.8845333	27.6683337	2.6616783
	"Alabama"	"01"	"2001"	"2001"	"10-14 years"	"10-14"	94	323615	29.0468612	23.4727686	35.5460964	2.9959550
	"Alabama"	"01"	"2001"	"2001"	"15-19 years"	"15-19"	297	321866	92.2744248	81.7799866	102.7688629	5.3543052
	"Alabama"	"01"	"2001"	"2001"	"20-24 years"	"20-24"	409	318741	128.3173486	115.8813749	140.7533223	6.3448845
	"Alabama"	"01"	"2001"	"2001"	"25-29 years"	"25-29"	371	286763	129.3751286	116.2101575	142.5400997	6.7168220
	"Alabama"	"01"	"2001"	"2001"	"30-34 years"	"30-34"	480	302186	158.8425672	144.6322965	173.0528378	7.2501381
	"Alabama"	"01"	"2001"	"2001"	"35-39 years"	"35-39"	698	330870	210.9589869	195.3085527	226.6094211	7.9849154
	"Alabama"	"01"	"2001"	"2001"	"40-44 years"	"40-44"	1147	347133	330.4209050	311.2985278	349.5432821	9.7563149
	"Alabama"	"01"	"2001"	"2001"	"45-49 years"	"45-49"	1484	323347	458.9496733	435.5987430	482.3006035	11.9137399
	"Alabama"	"01"	"2001"	"2001"	"50-54 years"	"50-54"	2011	300108	670.0921002	640.8044496	699.3797507	14.9426789
	"Alabama"	"01"	"2001"	"2001"	"55-59 years"	"55-59"	2291	231202	990.9083831	950.3316546	1031.4851117	20.7024125
	"Alabama"	"01"	"2001"	"2001"	"60-64 years "	"60-64"	2836	193822	1463.1981922	1409.3456618	1517.0507225	27.4757808
