"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Alabama"	"01"	"2007"	"2007"	"Under 15 years"	"15"	136
	"Alabama"	"01"	"2007"	"2007"	"15-19 years"	"15-19"	8696
	"Alabama"	"01"	"2007"	"2007"	"20-24 years"	"20-24"	20228
	"Alabama"	"01"	"2007"	"2007"	"25-29 years"	"25-29"	18434
	"Alabama"	"01"	"2007"	"2007"	"30-34 years"	"30-34"	11356
	"Alabama"	"01"	"2007"	"2007"	"35-39 years"	"35-39"	4998
	"Alabama"	"01"	"2007"	"2007"	"40-44 years"	"40-44"	919
	"Alabama"	"01"	"2007"	"2007"	"45-49 years"	"45-49"	36
	"Alabama"	"01"	"2007"	"2007"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"Under 15 years"	"15"	160
	"Alabama"	"01"	"2008"	"2008"	"15-19 years"	"15-19"	8559
	"Alabama"	"01"	"2008"	"2008"	"20-24 years"	"20-24"	19980
	"Alabama"	"01"	"2008"	"2008"	"25-29 years"	"25-29"	18603
	"Alabama"	"01"	"2008"	"2008"	"30-34 years"	"30-34"	11422
	"Alabama"	"01"	"2008"	"2008"	"35-39 years"	"35-39"	4906
	"Alabama"	"01"	"2008"	"2008"	"40-44 years"	"40-44"	878
	"Alabama"	"01"	"2008"	"2008"	"45-49 years"	"45-49"	36
	"Alabama"	"01"	"2008"	"2008"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"Under 15 years"	"15"	160
	"Alabama"	"01"	"2009"	"2009"	"15-19 years"	"15-19"	8205
	"Alabama"	"01"	"2009"	"2009"	"20-24 years"	"20-24"	18918
	"Alabama"	"01"	"2009"	"2009"	"25-29 years"	"25-29"	18086
	"Alabama"	"01"	"2009"	"2009"	"30-34 years"	"30-34"	11571
	"Alabama"	"01"	"2009"	"2009"	"35-39 years"	"35-39"	4598
	"Alabama"	"01"	"2009"	"2009"	"40-44 years"	"40-44"	892
	"Alabama"	"01"	"2009"	"2009"	"45-49 years"	"45-49"	41
	"Alabama"	"01"	"2009"	"2009"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2010"	"2010"	"Under 15 years"	"15"	110
	"Alabama"	"01"	"2010"	"2010"	"15-19 years"	"15-19"	7343
