pathogen_cat,vaccine_coverage_cat,n_sims,n_finite,mean,p025,p975
Diphtheria,50% lower,2000,16,8752.625,8503.25,9059.75
Measles,50% lower,2000,1998,1793.079079079079,1553.4750000000001,2030
Polio,50% lower,2000,1112,7150.928057553957,5101.425,9016
Rubella,50% lower,2000,2000,6612.375,6202,7154
Diphtheria,45% lower,2000,4,8613.5,8462.3,8889.65
Measles,45% lower,2000,2000,1900.0555,1638,2149
Polio,45% lower,2000,1001,7329.6853146853155,5432,9037
Rubella,45% lower,2000,2000,7159.936,6706,7777
Diphtheria,40% lower,2000,0,NA,NA,NA
Measles,40% lower,2000,2000,2008.4505,1736,2289
Polio,40% lower,2000,890,7545.103370786517,5894,9044
Rubella,40% lower,2000,1997,7846.940410615924,7350,8554.699999999999
Diphtheria,35% lower,2000,0,NA,NA,NA
Measles,35% lower,2000,2000,2163.0665,1855,2457.1749999999993
Polio,35% lower,2000,670,7777.4805970149255,6208.299999999999,9086
Rubella,35% lower,2000,1619,8692.940704138357,8214.15,9093
Diphtheria,30% lower,2000,0,NA,NA,NA
Measles,30% lower,2000,2000,2337.713,2002,2660.1749999999993
Polio,30% lower,2000,437,8086.7299771167045,6834.0999999999995,9065
Rubella,30% lower,2000,1,9002,9002,9002
Diphtheria,25% lower,2000,0,NA,NA,NA
Measles,25% lower,2000,1998,2555.522022022022,2198,2905.5250000000005
Polio,25% lower,2000,226,8498.526548672566,7629.125,9114
Rubella,25% lower,2000,0,NA,NA,NA
Diphtheria,20% lower,2000,0,NA,NA,NA
Measles,20% lower,2000,1999,2835.0070035017507,2436,3234.3499999999995
Polio,20% lower,2000,24,8839.25,8352.400000000001,9123.975
Rubella,20% lower,2000,0,NA,NA,NA
Diphtheria,15% lower,2000,0,NA,NA,NA
Measles,15% lower,2000,2000,3239.2255,2786,3731
Polio,15% lower,2000,0,NA,NA,NA
Rubella,15% lower,2000,0,NA,NA,NA
Diphtheria,10% lower,2000,0,NA,NA,NA
Measles,10% lower,2000,2000,3840.9455,3310.8250000000003,4466.174999999999
Polio,10% lower,2000,0,NA,NA,NA
Rubella,10% lower,2000,0,NA,NA,NA
Diphtheria,5% lower,2000,0,NA,NA,NA
Measles,5% lower,2000,1999,4882.610305152576,4228,5838
Polio,5% lower,2000,0,NA,NA,NA
Rubella,5% lower,2000,0,NA,NA,NA
Diphtheria,Current levels,2000,0,NA,NA,NA
Measles,Current levels,2000,1662,7616.197954271961,6335,8981
Polio,Current levels,2000,0,NA,NA,NA
Rubella,Current levels,2000,0,NA,NA,NA
Diphtheria,5% higher,2000,0,NA,NA,NA
Measles,5% higher,2000,0,NA,NA,NA
Polio,5% higher,2000,0,NA,NA,NA
Rubella,5% higher,2000,0,NA,NA,NA
Diphtheria,10% higher,2000,0,NA,NA,NA
Measles,10% higher,2000,0,NA,NA,NA
Polio,10% higher,2000,0,NA,NA,NA
Rubella,10% higher,2000,0,NA,NA,NA
