result_cat,pathogen_cat,vaccine_coverage_cat,state,mean,p025,p975
Primary result,Measles,50% lower,US,51190797.833,49717133.875,52538506.65
PSA result,Measles,50% lower,US,51073675.38519987,45733715.62325,56441949.69674999
Primary result,Measles,45% lower,US,46437260.7696,44986719.349999994,47771770.425000004
PSA result,Measles,45% lower,US,46355093.51429003,41002209.213250004,51852187.57275
Primary result,Measles,40% lower,US,41718342.3321,40253641.075,42988428.85
PSA result,Measles,40% lower,US,41591578.19717996,36270648.8895,47167691.01025
Primary result,Measles,35% lower,US,36830035.3542,35442133.225,38083309.9
PSA result,Measles,35% lower,US,36743229.40650994,31488685.81025,42346231.959
Primary result,Measles,30% lower,US,31893254.7727,30559613.6,33129307.849999998
PSA result,Measles,30% lower,US,31822386.155549962,26460502.2275,37379671.50225
Primary result,Measles,25% lower,US,26881295.157899998,25526132.349999998,28061288.424999997
PSA result,Measles,25% lower,US,26799254.448219758,21546527.329,32338295.5955
Primary result,Measles,20% lower,US,21668888.945,20432469.85,22841454.849999998
PSA result,Measles,20% lower,US,21703866.964119855,16693234.35625,27228113.9645
Primary result,Measles,15% lower,US,16546454.0222,15453747.725000001,17616191.900000002
PSA result,Measles,15% lower,US,16515498.144679997,11583097.356250001,21942192.97925
Primary result,Measles,10% lower,US,11133969.8736,10130975.925,12059553.45
PSA result,Measles,10% lower,US,11161190.146590155,6656343.2865,16494375.806499999
Primary result,Measles,5% lower,US,5702114.2378,4803139.100000001,6493437.675
PSA result,Measles,5% lower,US,5805385.471500164,1974705.29125,10693666.843999999
Primary result,Measles,Current levels,US,851327.2448,381319.9,1250911.7999999998
PSA result,Measles,Current levels,US,1227813.5047601175,10124.66275,4830939.978749997
Primary result,Measles,5% higher,US,5792.612700000001,3124.9500000000003,19383.674999999992
PSA result,Measles,5% higher,US,76685.22789999937,1670.4845,1079860.3544999992
Primary result,Measles,10% higher,US,2716.3717,2227.9500000000003,3435.0499999999993
PSA result,Measles,10% higher,US,38108.87469000205,1206.0014999999999,574802.0012499988
Primary result,Rubella,50% lower,US,9945099.5163,6430585.675,13016420.424999997
PSA result,Rubella,50% lower,US,9415431.889180165,190445.67974999998,18427860.313249998
Primary result,Rubella,45% lower,US,6170911.803900001,3042169.8000000003,8998699.024999999
PSA result,Rubella,45% lower,US,5993323.718349894,7330.222250000002,14169882.3985
Primary result,Rubella,40% lower,US,2633077.8693999997,527485.375,4936014.799999999
PSA result,Rubella,40% lower,US,3138540.5379999448,1413.1545,10205114.841249999
Primary result,Rubella,35% lower,US,292532.53259999986,2546.7250000000004,1055609.9249999993
PSA result,Rubella,35% lower,US,1178735.7613999571,700.7589999999999,6315755.1225
Primary result,Rubella,30% lower,US,4348.3753,664,20548.924999999945
PSA result,Rubella,30% lower,US,248269.85436000614,426.931,2644740.2775000003
Primary result,Rubella,25% lower,US,789.8489999999999,428.975,1663.199999999999
PSA result,Rubella,25% lower,US,12318.802209999154,312.39425,243657.5589999996
Primary result,Rubella,20% lower,US,477.55449999999996,337.97499999999997,715.0249999999999
PSA result,Rubella,20% lower,US,561.2670999999904,235.5925,2379.957749999999
Primary result,Rubella,15% lower,US,352.6515,270,464.02499999999986
PSA result,Rubella,15% lower,US,367.1219299999967,174.5185,658.65375
Primary result,Rubella,10% lower,US,280.2939,223,351.02499999999986
PSA result,Rubella,10% lower,US,284.6827699999948,139.06799999999998,454.53524999999996
Primary result,Rubella,5% lower,US,229.5815,184.975,282
