pathogen_cat,vaccine_coverage_cat,endemic_time,prop_susceptible
Diphtheria,No vaccinations,5208,0.18502413236252482
Diphtheria,No vaccinations,5530,0.19407948468557534
Diphtheria,No vaccinations,6160,0.2120767405626526
Diphtheria,No vaccinations,7238,0.2431688659823216
Diphtheria,No vaccinations,6349,0.21744112894851123
Diphtheria,No vaccinations,7427,0.24863360042109472
Diphtheria,No vaccinations,5544,0.19448708945403667
Diphtheria,No vaccinations,5642,0.19727661182102868
Diphtheria,No vaccinations,7511,0.2510347522082306
Diphtheria,No vaccinations,6447,0.22029783684461313
Diphtheria,No vaccinations,5887,0.20421376563327706
Diphtheria,No vaccinations,6265,0.21503504759095707
Diphtheria,No vaccinations,7084,0.23869568133326619
Diphtheria,No vaccinations,5558,0.19488805218946542
Diphtheria,No vaccinations,5733,0.19985094956129376
Diphtheria,No vaccinations,6300,0.21610326148757936
Diphtheria,No vaccinations,7343,0.246145247624173
Diphtheria,No vaccinations,6937,0.23443314735730988
Diphtheria,No vaccinations,5859,0.20344725986681228
Diphtheria,No vaccinations,7077,0.23847848813954378
Diphtheria,No vaccinations,5369,0.18950629303801
Diphtheria,No vaccinations,6727,0.22837170335637483
Diphtheria,No vaccinations,7546,0.2520917132248836
Diphtheria,No vaccinations,7889,0.2620613137094685
Diphtheria,No vaccinations,7259,0.24375282959287528
Diphtheria,No vaccinations,8456,0.27867442875600235
Diphtheria,No vaccinations,7035,0.23722214831622826
Diphtheria,No vaccinations,7084,0.2386789450453585
Diphtheria,No vaccinations,5964,0.20645194074744397
Diphtheria,No vaccinations,6335,0.2170710305334336
Diphtheria,No vaccinations,5460,0.19210556791530956
Diphtheria,No vaccinations,5845,0.20303863341102074
Diphtheria,No vaccinations,7035,0.23725435465560432
Diphtheria,No vaccinations,5845,0.20307703338340974
Diphtheria,No vaccinations,6804,0.23057357136758344
Diphtheria,No vaccinations,5131,0.18274831120380963
Diphtheria,No vaccinations,7539,0.25188385298391996
Diphtheria,No vaccinations,6307,0.21623046195883996
Diphtheria,No vaccinations,7252,0.24355026880182554
Diphtheria,No vaccinations,5103,0.18198576407680092
Diphtheria,No vaccinations,5278,0.1869459245776976
Diphtheria,No vaccinations,5145,0.1831767877046857
Diphtheria,No vaccinations,6713,0.2279807526197805
Diphtheria,No vaccinations,6251,0.21462768304222207
Diphtheria,No vaccinations,5901,0.20462629357313292
Diphtheria,No vaccinations,6146,0.21166450608489193
Diphtheria,No vaccinations,8456,0.2786500127000145
Diphtheria,No vaccinations,6615,0.22512320235234365
Diphtheria,No vaccinations,7154,0.2407176160536317
Diphtheria,No vaccinations,5446,0.1916810966936594
Diphtheria,No vaccinations,6580,0.22413056862842504
Diphtheria,No vaccinations,8680,0.28523389719364656
Diphtheria,No vaccinations,7028,0.23708175743929027
Diphtheria,No vaccinations,5166,0.18383062534679964
Diphtheria,No vaccinations,6118,0.21086031119077112
Diphtheria,No vaccinations,6741,0.2287609592004996
Diphtheria,No vaccinations,7875,0.26170221912149805
Diphtheria,No vaccinations,6923,0.23402541146845052
Diphtheria,No vaccinations,7623,0.25430399509690377
Diphtheria,No vaccinations,7980,0.2647493263485853
Diphtheria,No vaccinations,6594,0.22455671473598363
Diphtheria,No vaccinations,7504,0.2508922389813464
Diphtheria,No vaccinations,7413,0.24820378851786687
Diphtheria,No vaccinations,6384,0.2185271469700331
Diphtheria,No vaccinations,5334,0.188585561300093
Diphtheria,No vaccinations,6216,0.21367473288679076
Diphtheria,No vaccinations,7315,0.24539018529447346
Diphtheria,No vaccinations,5894,0.20445068545765963
Diphtheria,No vaccinations,6370,0.218106063178246
Diphtheria,No vaccinations,7980,0.2647564675483496
Diphtheria,No vaccinations,5243,0.1859215943648667
Diphtheria,No vaccinations,6300,0.2160622112275746
Diphtheria,No vaccinations,7287,0.24456865376082473
Diphtheria,No vaccinations,5390,0.19013862263411935
Diphtheria,No vaccinations,6958,0.23507366917936032
Diphtheria,No vaccinations,6832,0.23139438438215237
Diphtheria,No vaccinations,7532,0.2516546999051495
Diphtheria,No vaccinations,5481,0.19265085512015737
Diphtheria,No vaccinations,5222,0.1853458348828183
Diphtheria,No vaccinations,5719,0.1994737326064818
Diphtheria,No vaccinations,6279,0.21550214151369307
Diphtheria,No vaccinations,5292,0.18739474148334104
Diphtheria,No vaccinations,5740,0.2000661436904817
Diphtheria,No vaccinations,6342,0.2172877205434207
Diphtheria,No vaccinations,6475,0.22109092754213017
Diphtheria,No vaccinations,5460,0.19204277847241327
Diphtheria,No vaccinations,7259,0.24375334155511985
Diphtheria,No vaccinations,5782,0.20126803906153
Diphtheria,No vaccinations,5495,0.19309736053281562
Diphtheria,No vaccinations,6580,0.22415693923550284
Diphtheria,No vaccinations,6972,0.2354327633751614
Diphtheria,No vaccinations,7210,0.24236930781315275
Diphtheria,No vaccinations,5705,0.19904830164422962
Diphtheria,No vaccinations,5740,0.20011631938130514
Diphtheria,No vaccinations,6958,0.23501923533949012
Diphtheria,No vaccinations,6475,0.2210418259695915
Diphtheria,No vaccinations,6055,0.20906615480942106
Diphtheria,No vaccinations,7077,0.23844738593136822
Diphtheria,No vaccinations,5621,0.19665520721985758
Diphtheria,No vaccinations,6097,0.2102409785635645
