result_cat,pathogen_cat,vaccine_coverage_cat,state,mean,p025,p975
Primary result,Measles,50% lower,US,51190797.833,49717133.875,52538506.65
"Static
importation",Measles,50% lower,US,50003941.3656,48050630.875,51624881.449999996
Primary result,Measles,45% lower,US,46437260.7696,44986719.349999994,47771770.425000004
"Static
importation",Measles,45% lower,US,45350896.7316,43569470.55,46889274.349999994
Primary result,Measles,40% lower,US,41718342.3321,40253641.075,42988428.85
"Static
importation",Measles,40% lower,US,40638244.8098,38973834.025,42127824.75
Primary result,Measles,35% lower,US,36830035.3542,35442133.225,38083309.9
"Static
importation",Measles,35% lower,US,35911528.4044,34392118.625,37501877.1
Primary result,Measles,30% lower,US,31893254.7727,30559613.6,33129307.849999998
"Static
importation",Measles,30% lower,US,31013706.6882,29414977.125,32637749.775000002
Primary result,Measles,25% lower,US,26881295.157899998,25526132.349999998,28061288.424999997
"Static
importation",Measles,25% lower,US,26089246.0812,24506352,27486244.900000002
Primary result,Measles,20% lower,US,21668888.945,20432469.85,22841454.849999998
"Static
importation",Measles,20% lower,US,20965103.8892,19538849.150000002,22176448.749999996
Primary result,Measles,15% lower,US,16546454.0222,15453747.725000001,17616191.900000002
"Static
importation",Measles,15% lower,US,15929455.1572,14522763.475000001,17125184.95
Primary result,Measles,10% lower,US,11133969.8736,10130975.925,12059553.45
"Static
importation",Measles,10% lower,US,10619927.9182,9424397.95,11702850.975
Primary result,Measles,5% lower,US,5702114.2378,4803139.100000001,6493437.675
"Static
importation",Measles,5% lower,US,5358144.392,4405977.600000001,6220320.649999999
Primary result,Measles,Current levels,US,851327.2448,381319.9,1250911.7999999998
"Static
importation",Measles,Current levels,US,770222.331,248314.25,1183547.625
Primary result,Measles,5% higher,US,5792.612700000001,3124.9500000000003,19383.674999999992
"Static
importation",Measles,5% higher,US,5616.814800000001,3038.7999999999997,18747.875
Primary result,Measles,10% higher,US,2716.3717,2227.9500000000003,3435.0499999999993
"Static
importation",Measles,10% higher,US,2839.6283999999996,2330.85,3595.4749999999995
Primary result,Rubella,50% lower,US,9945099.5163,6430585.675,13016420.424999997
"Static
importation",Rubella,50% lower,US,4479337.024600001,1066084.35,8282863.899999999
Primary result,Rubella,45% lower,US,6170911.803900001,3042169.8000000003,8998699.024999999
"Static
importation",Rubella,45% lower,US,2684956.8736000005,221067.125,5796937.075
Primary result,Rubella,40% lower,US,2633077.8693999997,527485.375,4936014.799999999
"Static
importation",Rubella,40% lower,US,1023323.8913999998,878.825,2989319.1
Primary result,Rubella,35% lower,US,292532.53259999986,2546.7250000000004,1055609.9249999993
"Static
importation",Rubella,35% lower,US,110416.93639999993,281,737488.5499999997
Primary result,Rubella,30% lower,US,4348.3753,664,20548.924999999945
"Static
importation",Rubella,30% lower,US,1602.0275999999985,219.975,12240.39999999998
Primary result,Rubella,25% lower,US,789.8489999999999,428.975,1663.199999999999
"Static
importation",Rubella,25% lower,US,369.3412000000001,189.97500000000002,962.7249999999993
Primary result,Rubella,20% lower,US,477.55449999999996,337.97499999999997,715.0249999999999
"Static
importation",Rubella,20% lower,US,253.593,169,416
Primary result,Rubella,15% lower,US,352.6515,270,464.02499999999986
