result_cat,pathogen_cat,vaccine_coverage_cat,state,mean,p025,p975
Primary result,Measles,50% lower,US,51190797.833,49717133.875,52538506.65
"Population-weighted
importation",Measles,50% lower,US,50481757.739,48858073,51998120.900000006
Primary result,Measles,45% lower,US,46437260.7696,44986719.349999994,47771770.425000004
"Population-weighted
importation",Measles,45% lower,US,45773297.7872,44016055.625,47336912.25
Primary result,Measles,40% lower,US,41718342.3321,40253641.075,42988428.85
"Population-weighted
importation",Measles,40% lower,US,41177663.4312,39607175.1,42723814.1
Primary result,Measles,35% lower,US,36830035.3542,35442133.225,38083309.9
"Population-weighted
importation",Measles,35% lower,US,36340109.6298,34654349.225,37701374.05
Primary result,Measles,30% lower,US,31893254.7727,30559613.6,33129307.849999998
"Population-weighted
importation",Measles,30% lower,US,31431820.3358,29864573.724999998,32842531.4
Primary result,Measles,25% lower,US,26881295.157899998,25526132.349999998,28061288.424999997
"Population-weighted
importation",Measles,25% lower,US,26509348.1508,25070430.099999998,27902371.049999997
Primary result,Measles,20% lower,US,21668888.945,20432469.85,22841454.849999998
"Population-weighted
importation",Measles,20% lower,US,21359503.6762,20020316.299999997,22706055.7
Primary result,Measles,15% lower,US,16546454.0222,15453747.725000001,17616191.900000002
"Population-weighted
importation",Measles,15% lower,US,16315500.175,15070463.45,17445925.7
Primary result,Measles,10% lower,US,11133969.8736,10130975.925,12059553.45
"Population-weighted
importation",Measles,10% lower,US,10999751.5714,9978831.75,11999097.65
Primary result,Measles,5% lower,US,5702114.2378,4803139.100000001,6493437.675
"Population-weighted
importation",Measles,5% lower,US,5596026.1424,4697237.175,6402831.7
Primary result,Measles,Current levels,US,851327.2448,381319.9,1250911.7999999998
"Population-weighted
importation",Measles,Current levels,US,829508.2180000002,349449.22500000003,1234929.375
Primary result,Measles,5% higher,US,5792.612700000001,3124.9500000000003,19383.674999999992
"Population-weighted
importation",Measles,5% higher,US,6126.0812,3169.9,19003.274999999998
Primary result,Measles,10% higher,US,2716.3717,2227.9500000000003,3435.0499999999993
"Population-weighted
importation",Measles,10% higher,US,2745.7576,2239.9,3521.4499999999994
Primary result,Rubella,50% lower,US,9945099.5163,6430585.675,13016420.424999997
"Population-weighted
importation",Rubella,50% lower,US,8100735.545400001,4197497.899999999,11305312.05
Primary result,Rubella,45% lower,US,6170911.803900001,3042169.8000000003,8998699.024999999
"Population-weighted
importation",Rubella,45% lower,US,4605104.532599999,1449617.2750000001,7624905.2
Primary result,Rubella,40% lower,US,2633077.8693999997,527485.375,4936014.799999999
"Population-weighted
importation",Rubella,40% lower,US,1878267.0316,168285.825,4043472.399999999
Primary result,Rubella,35% lower,US,292532.53259999986,2546.7250000000004,1055609.9249999993
"Population-weighted
importation",Rubella,35% lower,US,196672.8029999999,871.9499999999999,877628.7249999999
Primary result,Rubella,30% lower,US,4348.3753,664,20548.924999999945
"Population-weighted
importation",Rubella,30% lower,US,2997.7888,451.97499999999997,17708.399999999994
Primary result,Rubella,25% lower,US,789.8489999999999,428.975,1663.199999999999
"Population-weighted
importation",Rubella,25% lower,US,636.8606000000001,365,1469.2499999999995
Primary result,Rubella,20% lower,US,477.55449999999996,337.97499999999997,715.0249999999999
"Population-weighted
importation",Rubella,20% lower,US,409.9034,298.975,616.05
