pathogen_cat,metric_cat,state,vaccine_coverage_cat,time,winsorized_mean,mean,p025,p975
Measles,Cumulative new infections,US,Current levels,1,0.0885000000000001,0.09300000000000003,0,1
Measles,Cumulative new infections,US,Current levels,2,0.1665000000000003,0.1845000000000001,0,1
Measles,Cumulative new infections,US,Current levels,4,0.36600000000000027,0.375,0,2
Measles,Cumulative new infections,US,Current levels,6,0.5495000000000003,0.5535000000000002,0,2
Measles,Cumulative new infections,US,Current levels,8,0.7604999999999997,0.7760000000000001,0,3
Measles,Cumulative new infections,US,Current levels,10,0.9835000000000003,0.9934999999999999,0,4
Measles,Cumulative new infections,US,Current levels,12,1.191,1.2185000000000001,0,4
Measles,Cumulative new infections,US,Current levels,14,1.4635,1.4820000000000002,0,5
Measles,Cumulative new infections,US,Current levels,16,1.7335000000000003,1.7449999999999999,0,5
Measles,Cumulative new infections,US,Current levels,18,1.997,2.0244999999999997,0,6
Measles,Cumulative new infections,US,Current levels,20,2.2795000000000005,2.3005000000000004,0,7
Measles,Cumulative new infections,US,Current levels,22,2.5869999999999997,2.605999999999999,0,7
Measles,Cumulative new infections,US,Current levels,24,2.918,2.9390000000000005,0,8
Measles,Cumulative new infections,US,Current levels,26,3.246899999999999,3.291999999999999,0,9
Measles,Cumulative new infections,US,Current levels,28,3.6225,3.6494999999999997,0,10
Measles,Cumulative new infections,US,Current levels,30,3.977,4.031000000000001,0,11
Measles,Cumulative new infections,US,Current levels,32,4.3519999999999985,4.404499999999997,0,12
Measles,Cumulative new infections,US,Current levels,34,4.739500000000003,4.792499999999999,0,13
Measles,Cumulative new infections,US,Current levels,36,5.1354999999999995,5.189,0,14
Measles,Cumulative new infections,US,Current levels,38,5.5085000000000015,5.565000000000001,1,15
Measles,Cumulative new infections,US,Current levels,40,5.935999999999997,5.986499999999997,1,16
Measles,Cumulative new infections,US,Current levels,42,6.360900000000001,6.4220000000000015,1,17
Measles,Cumulative new infections,US,Current levels,44,6.807499999999999,6.857000000000001,1,18
