vaccine_coverage_cat,pathogen_cat,complication_cat,time,prob_gte1
50% lower,Measles,Post-measles neurological sequelae,30,0.002500000000000031
50% lower,Measles,Post-measles neurological sequelae,60,0.011500000000000005
50% lower,Measles,Post-measles neurological sequelae,90,0.02049999999999998
50% lower,Measles,Post-measles neurological sequelae,120,0.029000000000000047
50% lower,Measles,Post-measles neurological sequelae,150,0.04249999999999992
50% lower,Measles,Post-measles neurological sequelae,180,0.05350000000000012
50% lower,Measles,Post-measles neurological sequelae,210,0.06750000000000006
50% lower,Measles,Post-measles neurological sequelae,240,0.07999999999999996
50% lower,Measles,Post-measles neurological sequelae,270,0.09150000000000005
50% lower,Measles,Post-measles neurological sequelae,300,0.10750000000000004
50% lower,Measles,Post-measles neurological sequelae,330,0.12249999999999998
50% lower,Measles,Post-measles neurological sequelae,360,0.13950000000000004
50% lower,Measles,Post-measles neurological sequelae,390,0.15049999999999994
50% lower,Measles,Post-measles neurological sequelae,420,0.1674999999999999
50% lower,Measles,Post-measles neurological sequelae,450,0.18150000000000016
50% lower,Measles,Post-measles neurological sequelae,480,0.2005000000000001
50% lower,Measles,Post-measles neurological sequelae,510,0.21800000000000003
50% lower,Measles,Post-measles neurological sequelae,540,0.23150000000000007
50% lower,Measles,Post-measles neurological sequelae,570,0.25199999999999995
50% lower,Measles,Post-measles neurological sequelae,600,0.2705
50% lower,Measles,Post-measles neurological sequelae,630,0.2890000000000001
50% lower,Measles,Post-measles neurological sequelae,660,0.30449999999999994
50% lower,Measles,Post-measles neurological sequelae,690,0.32349999999999995
50% lower,Measles,Post-measles neurological sequelae,720,0.3394999999999999
50% lower,Measles,Post-measles neurological sequelae,750,0.359
50% lower,Measles,Post-measles neurological sequelae,780,0.3820000000000002
50% lower,Measles,Post-measles neurological sequelae,810,0.4029999999999998
50% lower,Measles,Post-measles neurological sequelae,840,0.4265
50% lower,Measles,Post-measles neurological sequelae,870,0.45099999999999996
50% lower,Measles,Post-measles neurological sequelae,900,0.47200000000000014
50% lower,Measles,Post-measles neurological sequelae,930,0.4905
50% lower,Measles,Post-measles neurological sequelae,960,0.5155000000000001
50% lower,Measles,Post-measles neurological sequelae,990,0.5409999999999998
50% lower,Measles,Post-measles neurological sequelae,1020,0.5669999999999998
50% lower,Measles,Post-measles neurological sequelae,1050,0.5889999999999999
50% lower,Measles,Post-measles neurological sequelae,1080,0.6214999999999999
50% lower,Measles,Post-measles neurological sequelae,1110,0.6499999999999999
50% lower,Measles,Post-measles neurological sequelae,1140,0.673
50% lower,Measles,Post-measles neurological sequelae,1170,0.6964999999999999
50% lower,Measles,Post-measles neurological sequelae,1200,0.7244999999999998
50% lower,Measles,Post-measles neurological sequelae,1230,0.7455000000000002
50% lower,Measles,Post-measles neurological sequelae,1260,0.7694999999999999
50% lower,Measles,Post-measles neurological sequelae,1290,0.7924999999999998
50% lower,Measles,Post-measles neurological sequelae,1320,0.8180000000000003
50% lower,Measles,Post-measles neurological sequelae,1350,0.8479999999999998
50% lower,Measles,Post-measles neurological sequelae,1380,0.8700000000000002
50% lower,Measles,Post-measles neurological sequelae,1410,0.8965000000000001
50% lower,Measles,Post-measles neurological sequelae,1440,0.922
50% lower,Measles,Post-measles neurological sequelae,1470,0.9404999999999999
50% lower,Measles,Post-measles neurological sequelae,1500,0.9540000000000001
50% lower,Measles,Post-measles neurological sequelae,1530,0.9654999999999999
50% lower,Measles,Post-measles neurological sequelae,1560,0.9754999999999999
50% lower,Measles,Post-measles neurological sequelae,1590,0.9829999999999999
50% lower,Measles,Post-measles neurological sequelae,1620,0.988
50% lower,Measles,Post-measles neurological sequelae,1650,0.992
50% lower,Measles,Post-measles neurological sequelae,1680,0.9964999999999999
50% lower,Measles,Post-measles neurological sequelae,1710,0.998
50% lower,Measles,Post-measles neurological sequelae,1740,0.999
50% lower,Measles,Post-measles neurological sequelae,1770,0.9995
50% lower,Measles,Post-measles neurological sequelae,1800,0.9995
50% lower,Measles,Post-measles neurological sequelae,1830,0.9995
50% lower,Measles,Post-measles neurological sequelae,1860,1
50% lower,Measles,Post-measles neurological sequelae,1890,1
50% lower,Measles,Post-measles neurological sequelae,1920,1
50% lower,Measles,Post-measles neurological sequelae,1950,1
50% lower,Measles,Post-measles neurological sequelae,1980,1
50% lower,Measles,Post-measles neurological sequelae,2010,1
50% lower,Measles,Post-measles neurological sequelae,2040,1
50% lower,Measles,Post-measles neurological sequelae,2070,1
50% lower,Measles,Post-measles neurological sequelae,2100,1
50% lower,Measles,Post-measles neurological sequelae,2130,1
50% lower,Measles,Post-measles neurological sequelae,2160,1
50% lower,Measles,Post-measles neurological sequelae,2190,1
50% lower,Measles,Post-measles neurological sequelae,2220,1
50% lower,Measles,Post-measles neurological sequelae,2250,1
50% lower,Measles,Post-measles neurological sequelae,2280,1
50% lower,Measles,Post-measles neurological sequelae,2310,1
50% lower,Measles,Post-measles neurological sequelae,2340,1
50% lower,Measles,Post-measles neurological sequelae,2370,1
50% lower,Measles,Post-measles neurological sequelae,2400,1
50% lower,Measles,Post-measles neurological sequelae,2430,1
50% lower,Measles,Post-measles neurological sequelae,2460,1
50% lower,Measles,Post-measles neurological sequelae,2490,1
50% lower,Measles,Post-measles neurological sequelae,2520,1
50% lower,Measles,Post-measles neurological sequelae,2550,1
50% lower,Measles,Post-measles neurological sequelae,2580,1
50% lower,Measles,Post-measles neurological sequelae,2610,1
50% lower,Measles,Post-measles neurological sequelae,2640,1
50% lower,Measles,Post-measles neurological sequelae,2670,1
50% lower,Measles,Post-measles neurological sequelae,2700,1
50% lower,Measles,Post-measles neurological sequelae,2730,1
50% lower,Measles,Post-measles neurological sequelae,2760,1
50% lower,Measles,Post-measles neurological sequelae,2790,1
50% lower,Measles,Post-measles neurological sequelae,2820,1
50% lower,Measles,Post-measles neurological sequelae,2850,1
50% lower,Measles,Post-measles neurological sequelae,2880,1
50% lower,Measles,Post-measles neurological sequelae,2910,1
50% lower,Measles,Post-measles neurological sequelae,2940,1
50% lower,Measles,Post-measles neurological sequelae,2970,1
50% lower,Measles,Post-measles neurological sequelae,3000,1
50% lower,Measles,Post-measles neurological sequelae,3030,1
