pathogen_cat,vaccine_coverage_cat,state,mean,p025,p975
Measles,No vaccinations,AK,218936.456,79952.45,297044
Measles,No vaccinations,AL,1429557.4198,1137782.4749999999,1587036.025
Measles,No vaccinations,AR,884701.9118,640794.65,1015523.0750000001
Measles,No vaccinations,AZ,2081642.7042,1715713.675,2266536.65
Measles,No vaccinations,CA,12088012.7497,11968375.225,12195385.9
Measles,No vaccinations,CO,1655826.5073,1320696.075,1834869.6249999998
Measles,No vaccinations,CT,833464.0416,620224.25,947021.4500000001
Measles,No vaccinations,DC,197316.14530000003,77021.45,267205.25
Measles,No vaccinations,DE,227041.1558,112639.8,293756.3
Measles,No vaccinations,FL,5715441.2224,5401880.225000001,5827006.925
Measles,No vaccinations,GA,3303548.7301,2877465.9499999997,3507045.625
Measles,No vaccinations,HI,392450.9579,215594.6,484350.1
Measles,No vaccinations,IA,911813.1756000001,662135.475,1043700.6749999999
Measles,No vaccinations,ID,531630.5769,334096.14999999997,640045.05
Measles,No vaccinations,IL,3702879.3278,3288101.025,3892640.2999999993
Measles,No vaccinations,IN,2076364.2398,1718073.825,2264270
Measles,No vaccinations,KS,863054.2598,614334.55,996148.8
Measles,No vaccinations,KY,1313236.6087,1019449.0499999999,1467021.4749999999
Measles,No vaccinations,LA,1468053.5715,1121153.15,1637452.475
Measles,No vaccinations,MA,1750358.1137,1460456.2249999999,1909801.675
Measles,No vaccinations,MD,1772276.1402,1424245.75,1952087.75
Measles,No vaccinations,ME,263794.1309,147206.15,328692.475
Measles,No vaccinations,MI,2777273.7771,2407835.1,2973530.6
Measles,No vaccinations,MN,1686088.4183,1346477.45,1847579.2999999998
Measles,No vaccinations,MO,1825727.8386,1491119.9749999999,2002706.65
Measles,No vaccinations,MS,877601.8849000001,622693.75,1010412.4249999999
Measles,No vaccinations,MT,247771.09499999997,121499.90000000001,320447.1
Measles,No vaccinations,NC,3010670.2742,2623411,3209455.525
Measles,No vaccinations,ND,227396.649,100687.35,298964.55
Measles,No vaccinations,NE,584535.3476,375079.525,697915.65
Measles,No vaccinations,NH,269253.7197,145839.475,336167.14999999997
Measles,No vaccinations,NJ,2605369.3139,2196451.7,2803868.4749999996
Measles,No vaccinations,NM,547530.4799,358120.65,652466.3999999999
Measles,No vaccinations,NV,884372.3981999999,620416.7,1020747.575
Measles,No vaccinations,NY,5896412.6357,5574598.225,6029254.600000001
Measles,No vaccinations,OH,3460815.4844,3040670.25,3659035.15
Measles,No vaccinations,OK,1215947.7193,941592.85,1363783.8249999997
Measles,No vaccinations,OR,1068380.0793,800006.975,1206349.275
Measles,No vaccinations,PA,3459826.1199,3061105.625,3647823.3249999997
Measles,No vaccinations,RI,220676.16369999998,113020.225,284425.375
Measles,No vaccinations,SC,1431913.0079,1127701.875,1587283.2249999999
Measles,No vaccinations,SD,247257.9572,119942.025,323086.35
Measles,No vaccinations,TN,2011986.206,1654303.9500000002,2190558.6750000003
Measles,No vaccinations,TX,10284885.0874,10181475.55,10395104.625
Measles,No vaccinations,UT,1214396.6581000001,896901.1,1391029.775
Measles,No vaccinations,VA,2529662.1543,2126550.25,2725552.3999999994
Measles,No vaccinations,VT,105937.20819999998,2,151092.775
Measles,No vaccinations,WA,2238112.8148,1845543.875,2436512.725
Measles,No vaccinations,WI,1603943.3843999999,1292857.75,1765744.525
Measles,No vaccinations,WV,415142.1777,252382.275,501342.3
Measles,No vaccinations,WY,134835.4199,2,187049
Measles,75% lower,AK,165829.4235,2,238121.65
Measles,75% lower,AL,1085200.211,823609.9500000001,1236185.6
Measles,75% lower,AR,677211.1818,449004.75,800445.525
Measles,75% lower,AZ,1619714.1529,1293112.0999999999,1801191.85
Measles,75% lower,CA,9386417.3081,9146422.424999999,9540539.875
Measles,75% lower,CO,1283781.7089,976558.85,1452025.0999999999
Measles,75% lower,CT,621199.0415,422771.77499999997,734126.125
Measles,75% lower,DC,148669.2272,4.975000000000001,210524.94999999998
Measles,75% lower,DE,169724.79150000002,61266.950000000004,229154.8
Measles,75% lower,FL,4421388.3637,4016493.65,4645628.975
Measles,75% lower,GA,2529716.9868,2105490.05,2754758.25
Measles,75% lower,HI,298752.05169999995,151903.35,384494.55
Measles,75% lower,IA,686970.2836,468802.825,815417.625
Measles,75% lower,ID,408213.39119999995,224368.25,508480.5249999999
Measles,75% lower,IL,2993757.1877,2456152.3499999996,5750830.074999999
Measles,75% lower,IN,1600364.5481,1247183.5,1783300.9
Measles,75% lower,KS,656142.9312,435045.425,779963.8749999999
Measles,75% lower,KY,1007882.5908,743451.675,1157189.175
Measles,75% lower,LA,1125558.3721999999,822238.65,1291389.025
Measles,75% lower,MA,1309247.904,997841.85,1475125.775
Measles,75% lower,MD,1339869.2492,1034775.9500000001,1514081.875
Measles,75% lower,ME,199598.543,102019.375,258005.82499999998
